Сайт,"id цели",Название,"Тип цели",Ретаргетинг,"Способ создания","Ценность цели","Условие цели",URL
laparoskopiya.ru,41047356,Звонок,звонок,1,auto,0
laparoskopiya.ru,201653962,"Целевой звонок","целевой звонок",1,auto,0
laparoskopiya.ru,201653959,"Уникально-целевой звонок","целевой звонок",1,auto,0
laparoskopiya.ru,201653956,"Уникальный звонок","целевой звонок",1,auto,0
laparoskopiya.ru,203219479,"Автоцель: отправка формы","отправка формы",1,auto,0
laparoskopiya.ru,202573846,"Заявка: любая форма","по URL страницы",1,user,0,содержит,/submitted
laparoskopiya.ru,98919589,"Записаться на приём. Заявка из поп-апа - Header","по URL страницы",1,user,385,содержит,/tilda/form162444545/submitted
laparoskopiya.ru,98919610,"2 экран: Записаться на приём к врачу","по URL страницы",1,user,385,содержит,/tilda/form183628784/submitted
laparoskopiya.ru,98919802,"2 Экран: Узнать цены","по URL страницы",1,user,385,содержит,/tilda/form183622378/submitted
laparoskopiya.ru,98920054,"Что потребуется перед операцией: Записаться на операцию","по URL страницы",1,user,385,содержит,/tilda/form65235014/submitted
laparoskopiya.ru,98920069,"Бесплатная консультация по телефону: Заказать консультацию","по URL страницы",1,user,385,содержит,/tilda/form183620916/submitted
laparoskopiya.ru,98920105,"Блок Цен: Записаться на приём к врачу","по URL страницы",1,user,385,содержит,/tilda/form183642926/submitted
laparoskopiya.ru,98920183,"Блок Цен: Узнать цены","по URL страницы",1,user,400,содержит,/tilda/form183643278/submitted
laparoskopiya.ru,41072524,"Отправлен отзыв с Главной","по URL страницы",0,user,10,содержит,/tilda/form65235035/submitted
laparoskopiya.ru,202489531,"Записаться на ОНЛАЙН консультацию. Из поп-апа - Header","по URL страницы",1,user,385,содержит,/tilda/form337883761/submitted
laparoskopiya.ru,202489585,"Заявка на обратный звонок. Заявка из поп-апа - Header","по URL страницы",1,user,385,содержит,/tilda/form337889981/submitted
laparoskopiya.ru,202490995,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
laparoskopiya.ru,202500556,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
laparoskopiya.ru,202970665,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
laparoskopiya.ru,204471103,"Автоцель Jivo: ручное приглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_answer_on_agent_request
laparoskopiya.ru,202727869,"Автоцель: поиск по сайту","поиск по сайту",0,auto,0
laparoskopiya.ru,202991254,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
laparoskopiya.ru,204284077,"Автоцель: клик по email","клик по email",0,auto,0
